"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.5973699291396e-121,-0.515676822629876,0.042,0.074,1.46960866313254e-120,"IFNGR1"
1.56462155436859e-120,-0.153910571938147,0.272,0.343,8.79598143064904e-120,"RPL37"
1.94760713184728e-120,-0.881749252596062,0.036,0.066,1.0879308628217e-119,"VWF"
3.10341398250716e-120,-0.178583627634227,0.112,0.161,1.72259117889796e-119,"JUN"
3.87596626877206e-120,-0.58268167046408,0.049,0.083,2.13787573441075e-119,"GLUD1"
1.22121840822378e-119,-0.73024627859143,0.034,0.063,6.69380340007658e-119,"COL5A2"
2.91462116898825e-119,-1.24791253322305,0.021,0.044,1.58765389143025e-118,"Negative04"
6.41647873130251e-119,-0.405246822053935,0.349,0.4,3.47361225145204e-118,"IGFBP7"
1.08216841943131e-118,0.648251076891088,0.067,0.038,5.82246444074394e-118,"TIGIT"
3.76694852776743e-118,-0.343578283239784,0.139,0.191,2.01439869442197e-117,"IFITM1"
7.58346445631557e-118,-0.819710945756366,0.03,0.057,4.03072625950834e-117,"CCR1"
1.40878539326748e-117,-0.424034086872321,0.069,0.108,7.44279993913001e-117,"BASP1"
1.01393245947742e-115,-0.622041712502189,0.037,0.067,5.32466327521977e-115,"ITGB2"
2.35170064837277e-115,-0.363889585590531,0.048,0.081,1.22764373132316e-114,"ARHGDIB"
6.68506038047733e-114,-1.22284759979794,0.028,0.054,3.46911121519445e-113,"CD19"
9.5501915104482e-114,-0.775528194202665,0.029,0.055,4.92677526744887e-113,"CSF2RA"
1.7826988768428e-113,-0.997659265212396,0.026,0.052,9.14284745608849e-113,"RAMP3"
2.65232684759157e-113,-0.909655184203957,0.025,0.05,1.35237828217314e-112,"ICAM1"
4.45719202296395e-112,-0.453248238878242,0.04,0.071,2.25951295036959e-111,"CD55"
1.26320529201982e-111,-1.30152590285371,0.022,0.045,6.36684506380104e-111,"EFNB2"
1.57951413893048e-110,-0.603457700468082,0.043,0.074,7.9156222848116e-110,"RELA"
1.82109206900213e-110,-0.817822251324035,0.024,0.048,9.07441900292538e-110,"ATG5"
2.07372294199276e-109,-1.08298085131615,0.028,0.054,1.02748871193653e-108,"NPR3"
1.33424053508378e-108,-0.169363422315451,0.141,0.191,6.57375814195773e-108,"HLA-DRB"
1.76578246540347e-108,-1.19627769021661,0.018,0.04,8.65134760982592e-108,"FASN"
7.62021507236901e-108,-0.648641978972037,0.033,0.059,3.7127381213709e-107,"DDR2"
2.2005218818e-106,-0.135480596382104,0.219,0.282,1.06621971841911e-105,"FAU"
3.85163388807048e-106,0.506630444789866,0.091,0.059,1.85597962628451e-105,"FFAR3"
6.34324556896351e-105,-0.946814021287659,0.029,0.054,3.03990511692951e-104,"ACVRL1"
6.45419934592968e-105,-0.354193944906191,0.042,0.071,3.07626784042409e-104,"CD164"
2.89185198129598e-104,-0.789006099285565,0.026,0.049,1.37089415545761e-103,"ACVR1B"
7.37885064810435e-104,0.676496834162152,0.059,0.034,3.47916775182125e-103,"TCAP"
5.41062445844846e-103,-0.133853035606989,0.104,0.148,2.53749606955043e-102,"BTG1"
1.02332728269218e-102,-0.710082009269864,0.033,0.06,4.77371290915446e-102,"GSK3B"
1.33660393473541e-102,-0.271865815070665,0.093,0.135,6.20212513631192e-102,"SERPINH1"
1.39124629990276e-102,-1.02081491224088,0.017,0.037,6.42170002639325e-102,"PTGS1"
4.31551376458367e-102,0.72817526618035,0.29,0.256,1.98152124164392e-101,"SPARCL1"
8.23627465935607e-102,-0.582957539920776,0.035,0.062,3.76209003971629e-101,"IRF3"
1.40265047689303e-101,-0.517683336474444,0.042,0.071,6.37370190795436e-101,"MAP1LC3B/2"
3.02814529548704e-101,-1.35712533414055,0.011,0.028,1.36890898151656e-100,"TNFRSF10D"
9.23498312373675e-100,0.603988947163857,0.066,0.04,4.15337446129084e-99,"SFN"
1.01692574060837e-99,-0.23679145042345,0.051,0.083,4.55022384955888e-99,"SEC23A"
7.30829866516902e-99,-0.584835846872468,0.055,0.087,3.25349133469707e-98,"FLT1"
7.80395586290997e-99,-0.767481602193657,0.023,0.045,3.45660065241012e-98,"IL16"
1.75574260438813e-98,-0.94481814230971,0.018,0.039,7.73761941732858e-98,"NPR1"
1.82625915513737e-98,-0.606686611277475,0.038,0.065,8.00814639527739e-98,"FCGR3A/B"
1.67206268404664e-97,-1.24303133122717,0.02,0.04,7.29551728312888e-97,"CASP3"
1.93121028509249e-97,-0.204890974696243,0.299,0.364,8.38451198032728e-97,"S100A6"
1.96256054658916e-97,-0.536278938179256,0.029,0.053,8.47864827270294e-97,"TGFB1"
2.07569599115309e-97,-0.398295437864657,0.055,0.086,8.92345776588851e-97,"CD93"
4.97640215155127e-97,-0.573862249637904,0.041,0.069,2.12892911556608e-96,"MAP2K1"
6.52752884038522e-97,-0.812066654407178,0.019,0.039,2.77895281214458e-96,"IL1RAP"
1.26116723650317e-96,-0.516790644191141,0.041,0.068,5.34320611793856e-96,"ETS1"
3.11302469284179e-96,0.39280226018229,0.083,0.053,1.31255896904916e-95,"MMP7"
7.61770410005106e-96,0.304353772990162,0.13,0.094,3.19651985442334e-95,"RELT"
1.0408236297622e-95,-0.356635429626521,0.053,0.084,4.34667773000692e-95,"BCL2L1"
1.06672698379905e-95,-0.906625217827489,0.017,0.036,4.43374201323112e-95,"ADGRL4"
2.83387422338122e-94,0.458953166217555,0.071,0.044,1.17231494995535e-93,"ELANE"
1.37981866241288e-93,-0.412393489564626,0.048,0.077,5.68122519688309e-93,"ATF3"
4.59508250311594e-92,-0.244055791242139,0.085,0.122,1.88312493235172e-91,"CCDC80"
7.15803610230625e-92,-0.783412782935661,0.025,0.047,2.91981286591748e-91,"HGF"
6.43101432091273e-91,-0.690206819097393,0.03,0.054,2.61111090714836e-90,"BRAF"
5.28003521503654e-90,-1.16718457459441,0.029,0.051,2.13391284957928e-89,"PTTG1"
5.54826731309933e-90,-0.122938017230774,0.144,0.193,2.23203230898537e-89,"BTF3"
1.75714952502179e-89,-0.457610200702192,0.047,0.076,7.03662161390003e-89,"BAX"
4.17334234846558e-88,-0.519732191739359,0.047,0.075,1.66364601800196e-87,"CSF1"
1.11462248590778e-87,-0.802038656038716,0.024,0.045,4.42318515900962e-87,"MERTK"
1.98143335137651e-87,-0.648539428655087,0.025,0.047,7.82755427548288e-87,"ATR"
8.17116902606914e-87,0.47315912988608,0.068,0.043,3.21350459007293e-86,"EFNA4"
1.01814967477655e-86,-0.772054424061492,0.028,0.05,3.98623778919212e-86,"NFKB1"
1.25794483151505e-86,-0.635304431127345,0.042,0.068,4.90318940994979e-86,"SLCO2B1"
1.23261565895583e-85,-0.792606349186395,0.025,0.046,4.78320324293922e-85,"LIFR"
1.8056395361832e-85,0.498606320293527,0.065,0.041,6.97597300983552e-85,"SQLE"
1.70123005366669e-84,-0.37272089195483,0.041,0.067,6.54376647835827e-84,"SMAD2"
2.5893627239466e-84,0.426506503125539,0.078,0.051,9.91646772445924e-84,"IL18R1"
5.9456794501219e-84,-1.20846700634989,0.016,0.033,2.2671134251117e-83,"CALB1"
1.02095247060234e-83,0.582271025294723,0.059,0.036,3.87608362215695e-83,"LY6D"
1.41102171531341e-83,-0.786345204659705,0.017,0.035,5.33390536349077e-83,"MRC1"
2.76053048868839e-83,-1.33941729348894,0.017,0.035,1.0390494586179e-82,"WNT3"
5.11139751808172e-82,-0.328363641317514,0.061,0.091,1.91568189032379e-81,"C1QA"
2.2624149868927e-81,0.60407393143036,0.287,0.256,8.44314018512724e-81,"MYL9"
2.48784745549723e-81,-0.516345381140265,0.029,0.05,9.24509414606386e-81,"STAT6"
1.71802602571924e-80,-0.469221063756191,0.04,0.065,6.35742120065728e-80,"TNFRSF11B"
2.3354713008421e-80,-0.270359747487544,0.044,0.069,8.60591735646437e-80,"IGF2"
4.03232070861252e-80,-0.240063721233464,0.127,0.167,1.47964236880886e-79,"HLA-DRA"
1.48155303315127e-79,-0.962554419627584,0.02,0.038,5.41384170864027e-79,"AREG"
5.63051487563901e-79,-1.05582788173878,0.02,0.038,2.04894669955826e-78,"CLEC1A"
1.92001320369337e-78,-0.81562443346128,0.021,0.039,6.9580643786739e-78,"CD40"
2.23008171748528e-78,-0.400480454055891,0.058,0.086,8.04848422318762e-78,"TGFBI"
2.39443768705807e-78,-0.702196833922527,0.026,0.046,8.60623709651611e-78,"ADGRF5"
5.78018472688571e-78,-0.400835767324524,0.037,0.061,2.06907020631787e-77,"CD47"
4.66672857407642e-77,-0.655432056229799,0.029,0.05,1.6637077070996e-76,"CYP1B1"
2.9261298868961e-76,-0.778700403572216,0.023,0.041,1.03895381004368e-75,"PARP1"
6.36282889211758e-76,0.56240384725764,0.074,0.05,2.25008102354319e-75,"PTPRCAP"
8.20062648183195e-76,-0.802203229046078,0.023,0.042,2.88833310223559e-75,"NOTCH1"
1.95230862453449e-75,-0.843770624697999,0.023,0.042,6.84869865486699e-75,"HDAC4"
2.68054344121237e-75,-0.282462946817144,0.052,0.079,9.36588286033165e-75,"H2AZ1"
4.82100976536133e-75,-0.657593644452277,0.024,0.043,1.67778792231027e-74,"BECN1"
5.57264272790431e-75,0.777740286008925,0.11,0.082,1.93170263730122e-74,"CARMN"
6.54286826295301e-75,-1.01264066142488,0.014,0.029,2.25909270338968e-74,"GZMK"
4.38049216096433e-74,-1.01665718011966,0.02,0.037,1.5065457353591e-73,"MARCO"
8.1255047179675e-74,-0.645002914369828,0.026,0.046,2.78362017095996e-73,"KITLG"
2.26445311550474e-73,-1.37029275161315,0.012,0.027,7.72733611788972e-73,"FAM30A"
3.89469224455699e-73,-1.17225909860553,0.014,0.03,1.32389344902189e-72,"IL15"
5.57304998668911e-73,-0.417592017969529,0.042,0.066,1.88709067116847e-72,"HLA-DPB1"
9.76252250632311e-73,-0.295221948666868,0.071,0.102,3.29297393770976e-72,"EMP3"
1.21067363060741e-72,-0.893778655889523,0.018,0.035,4.06804894269233e-72,"CD84"
1.29793567712454e-72,-0.217167965387309,0.144,0.186,4.34461675129091e-72,"VEGFA"
3.61423687251714e-72,0.325991602479832,0.126,0.095,1.20520370235648e-71,"INHA"
5.47802425421858e-72,0.562132532045039,0.053,0.033,1.81978305717792e-71,"KRT14"
1.99719364812243e-71,0.446631415054841,0.085,0.059,6.60958048831462e-71,"EPHB6"
5.37015441624036e-71,-0.141449725483704,0.108,0.146,1.77053587332436e-70,"RAC1"
6.76139489770793e-71,-0.985726660521001,0.025,0.044,2.22087764992129e-70,"ANGPT1"
8.26696279037002e-71,-0.950703518450633,0.016,0.032,2.70527103252034e-70,"MAPK13"
9.07576251963943e-71,-1.25155337294068,0.014,0.029,2.95890101476721e-70,"REG1A"
2.20472755626752e-70,-0.805953746010204,0.026,0.044,7.16128172906154e-70,"BID"
2.57030994250655e-70,-0.653774418642681,0.032,0.052,8.31794029364667e-70,"CACNA1C"
3.29621953582934e-70,-1.03746697256052,0.015,0.03,1.06278843122145e-69,"PPARG"
1.08464044981924e-69,-0.283515799309738,0.05,0.075,3.48435778202004e-69,"LYZ"
5.81492342851008e-69,-0.823134132567308,0.024,0.042,1.86119994408881e-68,"FAP"
6.01550292477812e-69,-0.677695348567423,0.029,0.048,1.91839856910197e-68,"TIE1"
1.47921854637561e-68,-1.31002470170844,0.009,0.021,4.70027052598338e-68,"Negative02"
1.82517080270538e-68,-0.989313173337881,0.012,0.026,5.77860936452208e-68,"CLEC5A"
1.46550543110658e-67,-1.09468749232052,0.018,0.034,4.62319519093695e-67,"CLEC10A"
1.90023025788535e-67,-0.642644293891763,0.028,0.047,5.97312521923101e-67,"IFNAR2"
3.06836332885173e-67,-0.190618425905798,0.077,0.107,9.61055228358202e-67,"NDRG1"
4.03235672419616e-67,-0.625468981024815,0.032,0.052,1.25849709861923e-66,"FZD4"
1.65382233252475e-66,-0.482997988033633,0.038,0.059,5.14327016178795e-66,"VSIR"
3.61683270132756e-66,-0.40166605620846,0.036,0.057,1.12083472758455e-65,"TGFB3"
4.18106659214661e-66,-1.07885145209255,0.019,0.036,1.29112514130724e-65,"CHI3L1"
7.18390856903354e-66,-0.891354764784343,0.03,0.049,2.21062730352365e-65,"ACVR2A"
7.22608464585583e-66,-0.680836156427279,0.022,0.039,2.21583085119425e-65,"FGF1"
8.10179969939088e-66,-1.2268005858873,0.012,0.026,2.47570673740969e-65,"BRCA1"
1.09352165782204e-65,-1.17756232102898,0.011,0.025,3.32992532607615e-65,"IL18"
1.8059978374655e-65,-0.976918892440601,0.013,0.027,5.48048478704928e-65,"IKZF3"
2.05663108591167e-64,-0.78946490769135,0.019,0.034,6.21953607705012e-64,"TLR4"
3.07643099382031e-64,0.46019329896783,0.051,0.032,9.27158069271618e-64,"CD79A"
3.88636865683609e-64,-0.964208417429523,0.019,0.035,1.16724154522097e-63,"CD24"
4.81136250942433e-64,-0.367574361357932,0.049,0.072,1.44012454633623e-63,"NFKBIA"
1.41194808728885e-63,-0.710433964298048,0.032,0.051,4.2118315392936e-63,"EPHA3"
1.72279656953382e-63,-0.335021860730448,0.038,0.06,5.12166980163104e-63,"NR3C1"
2.97495889125154e-63,0.161124885878304,0.118,0.089,8.81432076901217e-63,"HBA1/2"
1.04995493416855e-62,-0.598270128215011,0.027,0.045,3.10037197732597e-62,"SPRY2"
1.07328433472989e-62,-0.474927826040234,0.034,0.054,3.1586253743561e-62,"NTRK2"
2.18765349479587e-62,-1.05600929184731,0.013,0.026,6.41662914694308e-62,"CXCR2"
2.35963406832954e-62,-0.847502750495845,0.026,0.044,6.8979969264167e-62,"HMGCS1"
2.5317503781773e-62,0.465619554186917,0.081,0.057,7.37656173309467e-62,"BCL2"
6.55562482900614e-62,-0.733124764825603,0.022,0.039,1.9037360844498e-61,"PPARD"
1.14398849176135e-61,-0.468675103532378,0.031,0.05,3.31114820882742e-61,"SMAD4"
1.43305753321197e-61,-0.980619416115029,0.015,0.029,4.1341824231148e-61,"Negative06"
5.89331666023618e-61,-0.995627001711337,0.014,0.027,1.69457006918922e-60,"TLR1"
3.62575698280913e-60,-1.06580564317431,0.028,0.046,1.03914669082471e-59,"CXCL5"
4.11802534637596e-60,-0.597351473696291,0.024,0.04,1.17638704520251e-59,"NGFR"
5.52045576493972e-60,0.38031820574186,0.06,0.04,1.57189600839355e-59,"IFNL2/3"
1.3195208885759e-59,-0.625442806518598,0.028,0.046,3.74504795883839e-59,"IL6R"
1.68152002917225e-59,-1.03406085756888,0.02,0.036,4.75707440510988e-59,"FZD8"
2.50853421404664e-59,0.289794341662169,0.073,0.051,7.07390516308328e-59,"AZU1"
8.34810767457125e-59,-0.857963807782757,0.019,0.034,2.3465674457048e-58,"CD274"
1.56858466543614e-58,0.387604569445535,0.065,0.044,4.39504393478432e-58,"NANOG"
1.01335939817287e-57,-0.961522986316978,0.016,0.029,2.83030634457837e-57,"MECOM"
1.18637733536979e-57,-0.749936295562497,0.016,0.03,3.30302515275969e-57,"HTT"
2.24150612448244e-57,-0.146217453622686,0.101,0.133,6.22088883281994e-57,"ZBTB16"
5.96819593149035e-57,0.26175737620447,0.492,0.464,1.65113811732399e-56,"TPT1"
8.84082477345839e-57,-0.320955531827694,0.058,0.082,2.43817714664246e-56,"AXL"
1.83790290057786e-56,-0.458276213382062,0.035,0.054,5.05279261381436e-56,"DST"
2.88507713653556e-56,-0.956707811233742,0.016,0.029,7.90691452731778e-56,"CD3D"
4.49006996502394e-56,-0.134428856030019,0.332,0.377,1.22672628016386e-55,"MGP"
7.58376911497729e-56,-0.87782720692204,0.018,0.032,2.06551724032145e-55,"SYK"
